id	char
0	
1	

2	 
3	1
4	2
5	3
6	6
7	8
8	9
9	:
10	A
11	B
12	C
13	D
14	E
15	F
16	G
17	H
18	I
19	J
20	K
21	L
22	M
23	N
24	O
25	P
26	R
27	S
28	T
29	U
30	V
31	W
32	Y
33	a
34	b
35	c
36	d
37	e
38	f
39	g
40	h
41	i
42	k
43	l
44	m
45	n
46	o
47	p
48	r
49	s
50	t
51	u
52	w
53	x
54	y
55	z
56	一
57	丁
58	七
59	三
60	上
61	下
62	不
63	世
64	丘
65	丟
66	並
67	中
68	丸
69	丹
70	主
71	久
72	之
73	乎
74	乒
75	乓
76	乖
77	乘
78	九
79	也
80	乾
81	亂
82	予
83	事
84	二
85	互
86	五
87	井
88	亙
89	些
90	亞
91	亡
92	交
93	亦
94	享
95	亭
96	亮
97	人
98	什
99	仁
100	仇
101	今
102	介
103	仍
104	仔
105	仕
106	他
107	仗
108	付
109	仙
110	代
111	令
112	以
113	仰
114	件
115	任
116	份
117	仿
118	伊
119	伏
120	伐
121	休
122	伯
123	伱
124	伴
125	伸
126	似
127	伽
128	但
129	佇
130	位
131	低
132	住
133	佔
134	何
135	佗
136	佛
137	作
138	你
139	佳
140	佻
141	使
142	來
143	供
144	依
145	侵
146	便
147	係
148	促
149	俊
150	保
151	俠
152	信
153	俯
154	俺
155	倉
156	個
157	們
158	倒
159	倔
160	候
161	倦
162	倫
163	倭
164	值
165	假
166	偉
167	偎
168	偏
169	做
170	停
171	側
172	偵
173	偶
174	偷
175	傀
176	傅
177	傍
178	傑
179	傘
180	備
181	傢
182	傲
183	傳
184	債
185	傷
186	傻
187	傾
188	像
189	僞
190	僵
191	價
192	儀
193	儂
194	儡
195	優
196	儲
197	兀
198	元
199	兄
200	充
201	兆
202	先
203	光
204	免
205	兒
206	兜
207	入
208	內
209	全
210	兩
211	八
212	公
213	六
214	兮
215	共
216	兵
217	其
218	具
219	典
220	冉
221	冊
222	再
223	冒
224	冠
225	冥
226	冰
227	冷
228	凋
229	凝
230	凡
231	凱
232	凶
233	刀
234	分
235	切
236	刊
237	列
238	初
239	判
240	別
241	利
242	刪
243	到
244	刷
245	刺
246	刻
247	則
248	削
249	剋
250	前
251	剔
252	剛
253	剝
254	剩
255	剪
256	副
257	割
258	創
259	劃
260	劇
261	劍
262	力
263	功
264	加
265	助
266	努
267	劫
268	勇
269	勉
270	勒
271	動
272	務
273	勛
274	勝
275	勞
276	勢
277	勵
278	勾
279	包
280	匆
281	化
282	北
283	匙
284	匠
285	匯
286	匹
287	區
288	十
289	升
290	午
291	半
292	卑
293	協
294	南
295	占
296	卡
297	卦
298	印
299	危
300	即
301	卸
302	卻
303	厘
304	厚
305	原
306	厭
307	厲
308	去
309	參
310	又
311	及
312	友
313	反
314	叔
315	取
316	受
317	叛
318	叢
319	口
320	古
321	句
322	另
323	叨
